Course Name,Provider,Skills,Rating,Total Reviews,Level,Duration
Google Data Analytics,Google,"Data Storytelling, Data Literacy, Data Visualization, Data Presentation, Data Ethics, Data Cleansing, Rmarkdown, Interactive Data Visualization, Data Validation, Ggplot2, Tableau Software, Sampling (Statistics), Presentations, Spreadsheet Software, Data Analysis, Data Visualization Software, Stakeholder Communications, Data Processing, Interviewing Skills, Applicant Tracking Systems",4.8,174K reviews,Beginner Â,3 - 6 Months
Google Project Management:,Google,"Quality Management, Project Management Life Cycle, Requirements Analysis, Project Scoping, Project Closure, Project Management, Project Planning, Agile Project Management, Continuous Improvement Process, Project Controls, Backlogs, Stakeholder Communications, Milestones (Project Management), Quality Assessment, Team Management, Agile Methodology, Project Documentation, Change Management, Interviewing Skills, Applicant Tracking Systems",4.8,134K reviews,Beginner Â,3 - 6 Months
Google Cybersecurity,Google,"Threat Modeling, Network Security, Incident Response, Vulnerability Management, Computer Security Incident Management, Hardening, Intrusion Detection and Prevention, Cyber Threat Intelligence, Threat Management, Cyber Attacks, Cybersecurity, Network Protocols, Cloud Security, Vulnerability Assessments, Bash (Scripting Language), Debugging, Linux, Interviewing Skills, Python Programming, SQL",4.8,57K reviews,Beginner Â,3 - 6 Months
Google Digital Marketing & E-commerce,Google,"Data Storytelling, Search Engine Marketing, Media Planning, Social Media Marketing, Google Ads, Email Marketing, Social Media Strategy, Search Engine Optimization, Order Fulfillment, Social Media Management, Performance Measurement, Spreadsheet Software, A/B Testing, Customer Relationship Management, E-Commerce, Campaign Management, Loyalty Programs, Marketing, Interviewing Skills, Applicant Tracking Systems",4.8,43K reviews,Beginner Â,3 - 6 Months
Google IT Support,Google,"Computer Networking, Package and Software Management, Network Troubleshooting, Systems Administration, Cloud Infrastructure, IT Infrastructure, Information Systems Security, TCP/IP, Network Security, File Systems, Microsoft Windows, Computer Security, Network Architecture, Application Security, Desktop Support, Computer Hardware, Technical Support, Interviewing Skills, Applicant Tracking Systems, Professional Development",4.8,206K reviews,Beginner Â,3 - 6 Months
Google UX Design,Google,"Responsive Web Design, Storyboarding, Wireframing, User Experience Design, UI/UX Research, Usability Testing, Information Architecture, Presentations, User Research, Figma (Design Software), Design Reviews, Persona (User Experience), Web Content Accessibility Guidelines, Mobile Development, User Story, Cross Platform Development, Data Ethics, Usability, Interviewing Skills, Applicant Tracking Systems",4.8,93K reviews,Beginner Â,3 - 6 Months
IBM Generative AI Engineering,IBM,"Exploratory Data Analysis, Prompt Engineering, Data Wrangling, Large Language Modeling, Generative AI, Unsupervised Learning, PyTorch (Machine Learning Library), Restful API, ChatGPT, Keras (Neural Network Library), Data Transformation, Supervised Learning, Flask (Web Framework), Data Analysis, Data Cleansing, Data Manipulation, Deep Learning, Jupyter, Regression Analysis, Data Import/Export",4.6,92K reviews,Beginner Â,3 - 6 Months
IBM Data Analyst,IBM,"Exploratory Data Analysis, Data Storytelling, Data Wrangling, Dashboard, Data Visualization Software, Plotly, Data Visualization, SQL, Generative AI, Interactive Data Visualization, Data Transformation, Data Analysis, Data Cleansing, Jupyter, Big Data, IBM Cognos Analytics, Excel Formulas, Python Programming, Professional Networking, Microsoft Excel",4.6,95K reviews,Beginner Â,3 - 6 Months
Google Advanced Data Analytics,Google,"Data Storytelling, Data Visualization, Data Ethics, Exploratory Data Analysis, Sampling (Statistics), Data Presentation, Data Visualization Software, Feature Engineering, Regression Analysis, Descriptive Statistics, Statistical Hypothesis Testing, Advanced Analytics, Data Analysis, Tableau Software, Data Science, Statistical Analysis, Machine Learning, Object Oriented Programming (OOP), Interviewing Skills, Python Programming",4.7,8.2K reviews,Advanced Â,3 - 6 Months
IBM Data Science,IBM,"Exploratory Data Analysis, Data Wrangling, Dashboard, Data Visualization Software, Data Visualization, SQL, Unsupervised Learning, Plotly, Interactive Data Visualization, Data Transformation, Supervised Learning, Jupyter, Data Analysis, Data Cleansing, Data Manipulation, Data Literacy, Data Mining, Matplotlib, Generative AI, Professional Networking",4.6,146K reviews,Beginner Â,3 - 6 Months
